category,file_path,purpose,status,last_write_time,notes
progress,docs/PROGRESS.md,历史进度报告,✅ 非空,2026-06-29 17:39:46,20932 bytes
progress,docs/PROGRESS_DELTA.md,Stage A 修复记录,✅ 非空,2026-06-29 18:21:12,4988 bytes
stats,docs/report_assets/STATS.md,本次统计汇总,✅ 生成,2026-06-29 21:15:37,最终文件由本脚本写入；大小以文件系统当前值为准
figures,docs/report_assets/FIGURE_INDEX.md,图表索引,✅ 非空,2026-06-29 19:56:57,11903 bytes
figures,docs/report_assets/FIGURE_QA.md,图表质量检查,✅ 非空,2026-06-29 19:33:05,1511 bytes
screenshots,docs/report_assets/SCREENSHOT_CHECKLIST.md,截图清单,✅ 非空,2026-06-29 20:06:51,20573 bytes
screenshots,docs/report_assets/SCREENSHOT_INDEX.md,截图索引,✅ 非空,2026-06-29 20:54:50,13625 bytes
screenshots,docs/report_assets/screenshots/frontend,前端截图目录,✅ 存在,2026-06-29 20:49:36,27 files
screenshots,docs/report_assets/screenshots/api,API 截图目录,🟡 空目录,2026-06-29 19:57:19,如为空则需人工补拍
screenshots,docs/report_assets/screenshots/tests,测试截图目录,🟡 空目录,2026-06-29 19:57:19,如为空则需人工补拍
screenshots,docs/report_assets/screenshots/database,数据库截图目录,🟡 空目录,2026-06-29 19:57:19,如为空则需人工补拍
screenshots,docs/report_assets/screenshots/docker,Docker 截图目录,🟡 空目录,2026-06-29 19:57:19,如为空则需人工补拍
logs,docs/report_assets/logs,统计与验证日志目录,✅ 存在,2026-06-29 21:06:04,29 files
progress_evidence,docs/progress_evidence,早期进度证据目录,✅ 存在,2026-06-29 18:02:34,36 files
progress_evidence,docs/progress_evidence/docker_build_stage_a.log,Stage A Docker build 日志,✅ 非空,2026-06-29 18:18:22,可能不存在于当前树
figures,docs/report_assets/figures/fig1_validation_overview.png,实验图资产,✅ 非空,2026-06-29 18:28:58,126562 bytes
figures,docs/report_assets/figures/fig1_validation_overview.svg,实验图资产,✅ 非空,2026-06-29 18:28:58,23910 bytes
figures,docs/report_assets/figures/fig2_algorithm_coverage_matrix.png,实验图资产,✅ 非空,2026-06-29 19:32:47,152727 bytes
